Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
ind,1,,Laminated Foam Boards,3 feet * 3 feet * 10 mm (l*b*h),"White Color
Paper Laminated sheets
High quality with good density
High Strength
3 feet * 3 feet * 10 mm (l*b*h)",8.45,,,4,1
ind,2,,Laminated Foam Boards,3 feet * 2 feet * 10 mm (l*b*h),"White Color
Paper Laminated sheets
High quality with good density
High Strength
3 feet * 2 feet * 10 mm (l*b*h)",5.63,,,4,2
ind,3,,Laminated Foam Boards,3 feet * 3 feet * 5 mm (l*b*h),"White Color
Paper Laminated sheets
High quality with good density
High Strength
3 feet * 3 feet * 5 mm (l*b*h)",5.63,,,4,3
ind,4,,Laminated Foam Boards,3 feet * 2 feet * 5 mm (l*b*h),"White Color
Paper Laminated sheets
High quality with good density
High Strength
3 feet * 2 feet * 5 mm (l*b*h)",3.73,,,4,4
ind,5,,Sunpack Sheets,3 feet * 2 feet * 5 mm (l*b*h),"Blue Color
Sunpack/Coroplast sheets
High quality
High Strength
3 feet * 2 feet * 5 mm (l*b*h)",2.39,,,4,5
ind,6,,Sunpack Sheets,3 feet * 4 feet * 5 mm (l*b*h),"Blue Color
Sunpack/Coroplast sheets
High quality
High Strength
3 feet * 4 feet * 5 mm (l*b*h)",4.78,,,4,6
