Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
arthur,"1,11",,100mW FPV telemetry set of 915/433Mhz V3,Radio,"Net Weight : 27g
Gross Weight : 115g
Packing Size : 110*75*45mm",59.4,,,,1
arthur,"1,12",,500mW FPV telemetry set of 915/433Mhz V3,Radio,"Net Weight : 27g
Gross Weight : 115g
Packing Size : 110*75*45mm",70.4,,,,2
arthur,"1,13",,micro FPV Radio telemetry module(915/433MHz),Radio,"Net Weight : 15g
Gross Weight : 83g
Packing Size : 110*75*45mm",39.6,,,,3
arthur,"4,20",,100mW FPV telemetry set of 915/433Mhz V3,Radio,"Net Weight : 27g
Gross Weight : 115g
Packing Size : 110*75*45mm",59.4,,,,4
arthur,"4,21",,500mW FPV telemetry set of 915/433Mhz V3,Radio,"Net Weight : 27g
Gross Weight : 115g
Packing Size : 110*75*45mm",70.4,,,,5
