Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
may,FD-R409,,22 in 1 RC Flight Simulator G7 Phoenix 5.0 XTR VRC FPV Racing,High Grade Items,"
Item Name: 22 in 1 simulator
Language: Chinese,English
Support software: XP windows7
Transmitter compatible: WLFY , JR , FUTABA , Walkera , FS , KDS
Support  G7
Support PhoenixRC5.0
Support Reflex XTR and VRC
For RC helicopter,quadcopter,airplane and FPV",11.25,,,,1
may,FD-R410,,Wireless RC Simulator RC Flight Simulator V2,High Grade Items,"All IN 1
Wireless RC Simulator RC Flight Simulator V2 Realflight XTR/FMS/G7/Phoenix/ Freerider FPV Quadcopter Training RC Simulator",28.75,,,,2
may,FD-R411,,RC Simulator Gold G7 V2,High Grade Items,RC Simulator Gold G7 V2,12,,,,3
may,FD-R412,,"Latest 8 in 1 Simulator
Support FPV",High Grade Items,"8 IN 1 RC Simulator
-XTR
-G3+G4
-AeroFly
-FMS
-FreeRider
-PhoenixRC",6.25,,,,4
